Type,Headline,Text,Start Date,End Date,Display Date,Group,Media URL,Media Caption,Media Credit,Media Alt,Media Link,Media Link Target,Background Color,Background Image,Unique ID,Start Time,End Time
title,Living Labs Institute Course Calendar,This timeline contains our course calendar over the next year divided into trimesters,,,,,,,,,,_blank,#f6b26b,https://photos.livinglabs.network/api/v1/t/2a19317a9862b44ec1fa8c08d05b98f896dc2792/qi93zku4/fit_1280,timeline-title,,
event,Maternal archives of songs,"This primer course will involve working with women to document birth practices, lullabies, remedies, taboos, and learn how to produce narratives and is offered by Eshwari & Supriya",2025-10-20,2025-10-31,,Wellbeing of Craft Practices,https://photos.livinglabs.network/api/v1/t/2a19317a9862b44ec1fa8c08d05b98f896dc2792/qi93zku4/fit_1280,test,asdasdasd,asdasdasd,,_blank,#f6b26b,,maternal-archives-of-songs,,
event,Artefact as Method,This primer course will be about learning by making artefacts as a research method and is offered by Abhiram & Shreyas,2025-10-06,2025-11-02,,Community Wellbeing,https://photos.livinglabs.network/api/v1/t/4bd28afb77a7525242abf3e613d4d2800aba3645/qi93zku4/tile_224,vzvzxc,asxdaz,asdasdasd,https://photos.livinglabs.network/library/browse,_blank,#f6b26b,https://photos.livinglabs.network/api/v1/t/d7f40b34aa001878910d14060660020c1fc61cd4/qi93zku4/fit_1280,artefact-as-method,,
event,Map as a tool to understand socioecological phenomena in the place,"This workshop by Adhavan & Harsha will attempt to introduce tools, methods and software to use maps as tools to document and understand  socio-ecological phenomena associated with a place or an ecosystemwill attempt to introduce tools, methods and software to use maps as tools to document and understand  socio-ecological phenomena associated with a place or an ecosystem",2025-10-26,2025-11-01,,Sensitive Ecologies,,,,,,_blank,#f6b26b,,map-as-a-tool-to-understand-socioecological-phenomena-in-the-place,,
event,Interaction between craft communities,This workshop by Eshwari & Supriya will work through the interdependence between communities and their practices and how they co-exist. This will rely on the knowledge that some of these crafts and communities are disappearing and what future can be imagined.,2025-10-06,2025-10-13,,Wellbeing of Craft Practices,,,,,,_blank,#f6b26b,,interaction-between-craft-communities,,
event,Assembling the plural world,This elective course by Archit & Shreyas will explore how artefacts embedded in a place are containers of shared narratives among communities. In this unit we will assemble narratives through cultural artefacts to initiate a public dialogue. ,2025-10-20,2025-11-07,,Syncretic Cultures & Practices,,,,,,_blank,#f6b26b,,assembling-the-plural-world,,
event,Sacred sites: Culture and Environment,This elective course by Abhishek & Shreyas will explore how artefacts embedded in a place are containers of shared narratives among communities. In this unit we will assemble narratives through cultural artefacts to initiate a public dialogue. ,2025-10-20,2025-11-16,,Syncretic Cultures & Practices,,,,,,_blank,#f6b26b,,sacred-sites:-culture-and-environment,,
event,"Local culinary practices, nutrition and wellbeing","This travelling studio by Sangeetha & Vidya will explore multiple sites of food production situated in Kundapura, like the agricultural fields, fish markets and ports, cashew & areca orchards. Being from a place which produces diverse food, how are food practices in different communities and how the production and consumption has a impact on the wellbeing of the communities",2025-10-11,2025-10-16,,Community Wellbeing,,,,,,_blank,#f6b26b,,"local-culinary-practices,-nutrition-and-wellbeing",,
event,What Shapes our Health? Mapping to understand place-based SDoH,"This makeathon by Naveen, Sangeetha, Vidya & Adhavan, set in specific places in Kundapura Taluk, focuses on mapping the specific, local manifestations of Social Determinants of Health to open up for their implications for understanding community health & wellbeing.",2025-11-14,2025-11-16,,Community Wellbeing,,,,,,_blank,#f6b26b,,what-shapes-our-health?-mapping-to-understand-place-based-sdoh,,
event,Listening to the rhythms of a place,"This makeathon by Archit, Eeshita & Shreyas will be about listening to a place, recording it and sampling it. This will also be an introduction to sampling as a method.",2025-11-13,2025-11-16,,Sensitive Ecologies,,,,,,_blank,#f6b26b,,listening-to-the-rhythms-of-a-place,,
